gene_id	f2	f3	f6	f8	f10	f11
WBGene00019520	253.00	143.00	180.00	281.00	140.00	160.00
WBGene00019521	290.00	192.00	86.00	340.00	231.00	172.00
WBGene00019522	318.00	173.00	81.00	421.00	176.00	209.00
WBGene00019524	2.00	4.00	2.00	2.00	5.00	4.00
WBGene00019525	82.92	61.02	3.00	84.48	45.00	24.53
WBGene00019526	0.00	0.00	0.00	0.00	0.00	2.00
WBGene00019527	6.00	10.00	5.00	3.00	6.00	12.00
WBGene00019529	17.31	17.00	8.03	3.03	0.00	1.00
WBGene00019530	389.18	194.00	599.00	657.05	254.00	314.03
WBGene00019531	821.82	427.00	1095.00	832.95	414.00	572.97
WBGene00019532	27.72	12.59	19.00	11.01	5.13	4.35
WBGene00019533	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019534	0.00	0.00	0.00	5.00	4.00	0.00
WBGene00019535	599.00	368.00	438.00	853.00	663.00	597.00
WBGene00019536	141.00	47.00	61.00	116.00	31.00	35.00
WBGene00019537	47399.00	28631.00	76824.00	58851.00	56606.00	41129.00
WBGene00019538	344.00	221.00	466.00	406.00	160.00	127.00
WBGene00019540	12046.00	8221.00	3518.00	24210.00	24364.00	17276.00
WBGene00019541	3.00	3.00	12.00	6.00	12.00	4.00
WBGene00019543	8812.00	4727.00	5036.00	7768.00	5883.00	5935.00
WBGene00019544	3736.34	2226.29	2239.33	3874.45	2868.24	2534.65
WBGene00019545	63.00	45.00	94.00	47.00	36.00	24.00
WBGene00019546	1397.00	856.00	1541.00	1611.00	636.00	687.00
WBGene00019547	300.00	158.00	98.00	284.00	168.00	199.00
WBGene00019548	3.00	0.00	0.00	2.00	13.00	1.00
WBGene00019549	15.00	8.00	4.00	23.00	24.00	9.00
WBGene00019550	157.00	60.00	80.00	162.00	387.00	467.00
WBGene00019551	6.00	6.00	9.00	4.00	0.00	0.00
WBGene00019552	0.00	1.00	0.00	0.00	0.00	0.00
WBGene00019553	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019554	198.00	157.00	106.00	340.00	212.00	164.00
WBGene00019556	22.14	9.06	12.16	59.38	8.00	15.20
WBGene00019557	5.00	4.00	6.00	4.00	0.00	1.00
WBGene00019558	5.00	0.00	0.00	11.00	0.00	1.00
WBGene00019559	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019560	2.00	1.00	2.00	1.00	2.00	0.00
WBGene00019561	285.08	119.19	191.44	598.76	406.03	444.59
WBGene00019562	127.48	88.24	80.75	211.68	47.97	105.08
WBGene00019563	25.00	25.00	25.00	109.00	16.00	19.00
WBGene00019564	84.00	32.00	58.00	41.00	23.00	18.00
WBGene00019565	2.00	2.00	0.00	1.00	0.00	1.00
WBGene00019566	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019567	0.00	0.00	0.00	0.00	0.00	1.00
WBGene00019568	2.00	0.00	0.00	9.00	4.00	4.00
WBGene00019569	41.00	17.00	9.00	10.00	12.00	14.00
WBGene00019570	0.00	1.00	1.00	0.00	2.00	3.00
WBGene00019571	1.00	5.00	4.00	6.00	0.00	4.00
WBGene00019572	3760.00	2170.00	2047.00	3369.00	2693.00	2504.00
WBGene00019574	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019575	2.00	2.00	1.00	1.00	0.00	5.00
WBGene00019576	82.00	46.00	36.00	109.00	116.00	72.00
WBGene00019577	14.00	4.00	5.00	25.00	13.00	1.00
WBGene00019578	109.00	42.00	38.00	88.00	94.00	84.00
WBGene00019579	34.62	29.75	34.46	35.87	10.00	49.53
WBGene00019580	61.38	25.25	29.54	74.13	92.00	84.47
WBGene00019582	2.00	1.00	0.00	1.00	0.00	0.00
WBGene00019583	1.00	0.00	0.00	0.00	0.00	0.00
WBGene00019584	45.00	27.00	16.00	51.00	41.00	37.00
WBGene00019586	126.00	77.00	61.00	369.00	218.00	216.00
WBGene00019587	26.00	10.00	12.00	53.00	42.00	30.00
WBGene00019588	10.00	11.00	0.00	6.00	6.00	1.00
WBGene00019589	170.00	164.00	37.00	207.00	107.00	121.00
WBGene00019590	46.00	18.00	0.00	80.00	24.00	4.00
WBGene00019591	42.00	33.00	26.00	52.00	101.00	42.00
WBGene00019592	238.97	167.00	245.00	558.00	164.00	246.00
WBGene00019593	33.00	24.38	10.00	21.59	4.00	3.00
WBGene00019594	0.00	0.00	0.00	1.00	0.00	0.00
WBGene00019595	1705.00	975.00	789.00	1566.00	1459.00	1118.00
WBGene00019597	212.00	124.00	158.00	260.00	151.00	170.00
WBGene00019598	360.27	218.26	213.09	489.64	746.46	682.86
WBGene00019599	915.00	552.00	418.00	1264.00	842.00	795.00
WBGene00019600	2019.92	1155.01	480.01	1747.18	1767.01	1162.90
WBGene00019601	16.00	7.00	6.00	9.00	20.00	12.00
WBGene00019602	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019603	77.00	31.00	38.00	81.00	26.00	22.00
WBGene00019604	447.32	298.58	0.00	270.70	288.24	129.71
WBGene00019605	643.00	280.00	218.00	376.00	337.00	348.00
WBGene00019606	8099.00	4539.00	3021.00	6288.00	7787.00	7461.00
WBGene00019607	1988.00	1124.00	1947.00	2269.00	1422.00	1909.00
WBGene00019608	1521.00	858.00	576.00	1375.00	1221.00	947.00
WBGene00019609	671.00	409.00	486.00	699.00	636.00	601.00
WBGene00019611	745.00	393.00	146.00	624.00	374.00	316.00
WBGene00019612	592.00	366.00	224.00	625.00	199.00	229.00
WBGene00019613	3.00	0.00	1.00	0.00	0.00	0.00
WBGene00019614	3.00	3.00	1.00	1.00	0.00	4.00
WBGene00019615	562.00	318.00	118.00	687.00	317.00	295.00
WBGene00019616	28.00	16.00	12.00	26.00	9.00	17.00
WBGene00019617	2938.00	1769.00	776.00	1855.00	3076.00	2869.00
WBGene00019618	1.00	1.00	1.00	1.00	0.00	2.00
WBGene00019619	1928.00	963.00	452.00	625.00	1650.00	1641.00
WBGene00019620	3069.00	1650.00	3051.00	3442.00	3882.00	3970.00
WBGene00019621	9.00	7.00	5.00	17.00	7.00	1.00
WBGene00019622	19.00	2.00	19.00	12.00	0.00	2.00
WBGene00019623	1303.00	572.00	1919.00	1137.00	413.00	434.00
WBGene00019624	2602.00	1458.00	1647.00	2066.00	1415.00	1301.00
WBGene00019625	2.00	0.00	0.00	1.00	0.00	0.00
WBGene00019626	669.00	386.00	477.00	740.00	291.00	370.00
WBGene00019627	598.00	421.00	358.00	771.00	589.00	525.00
WBGene00019628	3387.00	1704.00	597.00	2122.00	2049.00	1716.00
WBGene00019629	838.00	465.00	353.00	931.00	827.00	700.00
WBGene00019630	1628.00	903.00	1979.00	2182.00	1619.00	1836.00
WBGene00019631	1504.00	800.00	1558.00	1547.00	1491.00	1501.00
WBGene00019633	188.00	68.00	214.00	218.00	164.00	232.00
WBGene00019636	1408.00	729.00	709.00	796.00	404.00	421.00
WBGene00019638	0.00	1.00	0.00	0.00	0.00	0.00
WBGene00019639	0.00	0.00	1.00	2.00	0.00	2.00
WBGene00019640	26.00	19.00	38.00	34.00	24.00	24.00
WBGene00019641	34.00	23.00	19.00	38.00	19.00	9.00
WBGene00019642	754.00	427.00	588.00	1013.00	317.00	421.00
WBGene00019643	327.00	158.00	298.00	374.00	185.00	172.00
WBGene00019644	171.00	139.00	117.00	345.00	69.00	61.00
WBGene00019645	1955.00	893.00	2108.00	2336.00	1044.00	1465.00
WBGene00019646	30.00	9.00	10.00	16.00	8.00	3.00
WBGene00019647	3096.00	1622.00	2326.00	3818.00	2860.00	2499.00
WBGene00019648	187.00	100.00	113.00	192.00	102.00	134.00
WBGene00019649	70.00	62.00	31.00	119.00	59.00	41.00
WBGene00019650	338.00	181.00	272.00	313.00	218.00	203.00
WBGene00019651	304.00	167.00	86.00	461.00	117.00	182.00
WBGene00019652	76.00	63.00	9.00	95.00	23.00	17.00
WBGene00019653	147.00	101.00	20.00	180.00	88.00	64.00
WBGene00019654	13.00	5.00	2.00	13.00	16.00	17.00
WBGene00019655	140.00	83.00	91.00	210.00	90.00	86.00
WBGene00019656	4737.00	2740.00	3008.00	5185.00	5053.00	5479.00
WBGene00019657	1041.00	535.00	392.00	994.00	759.00	725.00
WBGene00019658	866.00	629.00	678.00	1595.00	1322.00	1123.00
WBGene00019659	0.00	2.00	0.00	5.00	1.00	2.00
WBGene00019660	17.00	4.00	4.00	7.00	0.00	2.00
WBGene00019661	82.00	27.00	10.00	78.00	56.00	20.00
WBGene00019662	210.00	115.00	192.00	121.00	84.00	55.00
WBGene00019663	2249.00	1067.00	1315.00	2547.00	1916.00	1806.00
WBGene00019664	10553.00	5786.00	11412.00	8896.00	5084.00	5849.00
WBGene00019665	798.00	434.00	538.00	479.00	321.00	411.00
WBGene00019666	3679.00	1836.00	891.00	3230.00	1735.00	1541.00
WBGene00019667	64.00	41.00	5.00	62.00	21.00	43.00
WBGene00019668	9.00	5.00	6.00	16.00	14.00	25.00
WBGene00019669	111.00	55.00	102.00	43.00	36.00	48.00
WBGene00019670	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019672	58.00	29.00	13.00	102.00	64.00	52.00
WBGene00019673	10470.00	6036.00	8941.00	10268.00	8139.00	7778.00
WBGene00019674	364.00	176.00	462.00	335.00	211.00	238.00
WBGene00019675	4.00	4.00	4.00	9.00	8.00	7.00
WBGene00019676	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019677	465.00	295.00	101.00	775.00	545.00	373.00
WBGene00019678	2028.00	1259.00	772.00	2784.00	1807.00	1587.00
WBGene00019679	3656.00	2135.00	2312.00	4056.00	3250.00	2750.00
WBGene00019680	6907.00	4204.00	5413.00	8506.00	8253.00	8816.00
WBGene00019681	8.00	3.00	6.00	47.00	14.00	39.00
WBGene00019682	2700.00	1395.00	804.00	2125.00	6406.00	6059.00
WBGene00019683	553.00	339.00	412.00	588.00	419.00	500.00
WBGene00019684	41.00	25.00	57.00	7.00	12.00	7.00
WBGene00019685	1.00	0.00	0.00	0.00	0.00	0.00
WBGene00019686	4485.00	2440.00	3692.00	4189.00	3289.00	3317.00
WBGene00019687	15.00	13.00	17.00	21.00	14.00	11.00
WBGene00019688	0.00	2.00	6.00	0.00	0.00	1.00
WBGene00019689	118.00	64.00	134.00	52.00	10.00	34.00
WBGene00019690	30.00	13.00	17.00	33.00	44.00	27.00
WBGene00019691	185.00	107.00	33.00	133.00	67.00	113.00
WBGene00019692	295.00	172.00	58.00	303.00	164.00	158.00
WBGene00019693	4826.00	2501.00	2036.00	3913.00	2812.00	2749.00
WBGene00019697	5122.00	2539.00	2218.00	4318.00	3012.00	2891.00
WBGene00019698	4467.00	2384.00	2246.00	4843.00	2333.00	2543.00
WBGene00019699	118.00	67.00	19.00	84.00	203.00	164.00
WBGene00019700	80.00	61.00	63.00	109.00	160.00	136.00
WBGene00019702	0.00	0.00	1.00	0.00	0.00	0.00
WBGene00019703	38.00	23.00	25.00	43.00	38.00	29.00
WBGene00019704	13.00	6.00	9.00	19.00	30.00	12.00
WBGene00019705	32.00	18.00	21.00	51.00	21.00	30.00
WBGene00019706	0.00	1.00	0.00	0.00	3.00	0.00
WBGene00019709	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019710	835.00	389.00	609.00	867.00	489.00	611.00
WBGene00019711	937.00	667.00	468.00	1087.00	737.00	567.00
WBGene00019712	470.00	200.00	183.00	349.00	231.00	232.00
WBGene00019713	9521.00	4849.00	3875.00	9348.00	5319.00	5564.00
WBGene00019714	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019715	1866.00	1095.00	445.00	1605.00	1220.00	937.00
WBGene00019716	4986.00	2790.00	5176.00	5573.00	3610.00	3935.00
WBGene00019717	775.00	369.00	507.00	350.00	488.00	478.00
WBGene00019718	38.00	22.00	17.00	41.00	12.00	11.00
WBGene00019719	97165.00	50564.00	56296.00	96308.00	35298.00	40080.00
WBGene00019720	1558.00	835.00	1101.00	1293.00	657.00	614.00
WBGene00019721	14.00	18.00	13.00	7.00	16.00	12.00
WBGene00019722	12.00	4.00	3.00	15.00	2.00	6.00
WBGene00019723	284.87	182.00	53.00	280.20	199.00	160.00
WBGene00019724	371.00	184.00	128.00	500.00	401.00	373.00
WBGene00019725	716.00	479.00	39.00	753.00	588.00	414.00
WBGene00019726	3485.00	1906.00	653.00	3165.00	2247.00	2081.00
WBGene00019727	6178.00	3486.00	2297.00	9426.00	5308.00	4644.00
WBGene00019728	99.00	64.00	15.00	123.00	103.00	107.00
WBGene00019729	364.00	234.00	155.00	454.00	378.00	357.00
WBGene00019730	18217.00	8628.00	5956.00	13278.00	9867.00	9523.00
WBGene00019731	164.00	88.00	60.00	151.00	114.00	106.00
WBGene00019732	2114.00	1092.00	1529.00	2672.00	2526.00	2824.00
WBGene00019733	247.00	167.00	62.00	274.00	129.00	69.00
WBGene00019734	1643.00	854.00	1598.00	1494.00	610.00	552.00
WBGene00019735	3.00	3.00	1.00	0.00	3.00	0.00
WBGene00019736	2.00	0.00	0.00	7.00	2.00	2.00
WBGene00019738	641.00	287.00	386.00	123.00	998.00	974.00
WBGene00019739	3.00	1.00	0.00	4.00	0.00	1.00
WBGene00019740	2.00	0.00	0.00	1.00	0.00	0.00
WBGene00019741	143.00	97.00	15.00	161.00	47.00	60.00
WBGene00019742	206.00	109.00	28.00	326.00	74.00	62.00
WBGene00019743	160.00	92.00	22.00	239.00	72.00	48.00
WBGene00019744	2310.00	1491.00	3591.00	804.00	4245.00	5158.00
WBGene00019745	1.00	0.00	0.00	0.00	0.00	0.00
WBGene00019746	223.00	75.00	87.00	186.00	121.00	104.00
WBGene00019747	4184.00	2217.00	1631.00	3891.00	3388.00	2668.00
WBGene00019748	2914.00	1843.00	2151.00	2722.00	1832.00	1508.00
WBGene00019749	93.00	47.00	12.00	107.00	55.00	45.00
WBGene00019750	1098.00	421.00	1529.00	615.00	387.00	597.00
WBGene00019751	148.00	103.00	44.00	237.00	177.00	100.00
WBGene00019753	41.00	21.00	42.00	37.00	28.00	20.00
WBGene00019754	122.00	67.00	184.00	117.00	108.00	105.00
WBGene00019755	41.00	15.00	31.90	57.88	23.00	19.85
WBGene00019756	17.00	11.00	20.00	20.00	9.00	8.00
WBGene00019757	959.00	582.00	126.00	1132.00	553.00	543.00
WBGene00019758	0.00	0.00	0.00	0.00	0.00	0.00
WBGene00019759	223.00	128.00	202.00	202.00	146.00	168.00
WBGene00019760	9524.00	5407.00	3582.00	8341.00	11407.00	10498.00
WBGene00019761	60.00	39.00	47.00	82.00	32.00	42.00
WBGene00019762	2114.00	1280.00	957.00	2069.00	1426.00	1202.00
WBGene00019763	27.00	11.00	18.00	31.00	11.00	20.00
WBGene00019764	7.00	3.00	0.00	2.00	1.00	0.00
WBGene00019765	76.00	42.00	14.00	74.00	38.00	31.00
WBGene00019766	1600.00	792.00	109.00	1182.00	745.00	539.00
WBGene00019767	8121.00	4995.00	8040.00	7627.00	6621.00	6572.00
WBGene00019768	150.01	96.57	27.26	163.48	129.79	104.72
WBGene00019769	452.56	295.30	74.00	522.43	349.58	243.48
WBGene00019770	2121.00	1077.00	1904.00	2301.00	1393.00	1781.00
WBGene00019771	1111.00	574.00	220.00	1061.00	746.00	690.00
WBGene00019772	5250.00	2355.00	5380.00	2923.00	2180.00	2251.00
WBGene00019773	158.79	125.60	134.22	164.44	67.94	100.63
